instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
atris19260,ATRIS,19260,1423251,15169876,6079509.725,1.17E+11,TRUE,7.75E+12,4,7.75E+12,4,12,8.871858775,1.76E+08,9.83E+08,5.03E+08,6.49E-05,40762629543,0,4486,40762629543,0,76328727755,2.76E+12,0.356188199,0
atris3323,ATRIS,3323,1428143,14423410,6120624.122,20338833957,TRUE,6.73E+13,4,6.73E+13,4,12,8.888353897,1.74E+10,9.52E+10,5.07E+10,7.52E-04,3647512686,0,371,3647512686,0,16691321271,2.38E+13,0.352751486,0
atris20367,ATRIS,20367,1337855,14841043,6083488.531,1.24E+11,TRUE,5.86E+12,4,5.86E+12,4,12,8.855697943,1.82E+08,9.88E+08,5.04E+08,8.59E-05,30060247709,0,3163,30060247709,0,93842163199,1.99E+12,0.338538576,0
atris1240,ATRIS,1240,1600718,13299531,6072933.868,7530437996,TRUE,3.12E+13,4,3.12E+13,4,12,8.820967742,2.05E+10,9.28E+10,5.03E+10,0.0016129,1855086690,0,199,1855086690,0,5675351306,1.23E+13,0.394907628,0
atris3934,ATRIS,3934,1368658,15071250,6090922.179,23961687853,TRUE,1.59E+14,4,1.59E+14,4,12,8.827656329,1.81E+10,9.58E+10,5.05E+10,3.18E-04,8633379765,0,957,8633379765,0,15328308088,5.88E+13,0.369535351,0
atris49462,ATRIS,49462,1414062,15559017,6089977.524,3.01E+11,TRUE,1.66E+13,4,1.66E+13,4,12,8.86098419,1.81E+08,1.04E+09,5.04E+08,3.03E-05,84522107608,0,9073,84522107608,0,2.17E+11,5.64E+12,0.339064094,0
atris18921,ATRIS,18921,1365323,15233176,6079555.954,1.15E+11,TRUE,5.44E+12,4,5.44E+12,4,12,8.832936948,1.83E+08,9.89E+08,5.04E+08,9.25E-05,28520144902,0,3012,28520144902,0,86511133307,1.89E+12,0.346518062,0
atris1266,ATRIS,1266,1481555,14933587,6024001.288,7626385630,TRUE,5.05E+13,4,5.05E+13,4,12,8.793048973,1.98E+10,9.61E+10,4.99E+10,9.87E-04,2833280786,0,317,2833280786,0,4793104844,1.93E+13,0.381312649,0
atris7260,ATRIS,7260,1406509,14545192,6132396.471,44521198380,TRUE,2.94E+12,4,2.94E+12,4,12,8.881818182,1.90E+08,9.64E+08,5.07E+08,1.72E-04,15596029304,0,1718,15596029304,0,28925169076,1.06E+12,0.359136379,0
atris1660,ATRIS,1660,1516150,14262710,6194020.723,10282074401,TRUE,4.24E+13,4,4.24E+13,4,12,8.951807229,2.14E+10,9.16E+10,5.11E+10,0.001204819,2464739541,0,257,2464739541,0,7817334860,1.63E+13,0.384060344,0
