instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
atris19260,ATRIS,19260,1423251,15169876,6079509.725,1.17091E+11,TRUE,7.75367E+12,4,7.75E+12,4,12,8.871858775,1.76E+08,9.83E+08,5.03E+08,6.49E-05,40762629543,0,5916,42934424000,-0.053279057,74156933298,3.43E+12,0.443008297,0
atris3323,ATRIS,3323,1428143,14423410,6120624.122,20338833957,TRUE,6.73433E+13,4,6.73E+13,4,12,8.888353897,1.74E+10,9.52E+10,5.07E+10,7.52E-04,3647512686,0,471,3721054288,-0.020162124,16617779669,2.97E+13,0.44168997,0
atris20367,ATRIS,20367,1337855,14841043,6083488.531,1.23902E+11,TRUE,5.86458E+12,4,5.86E+12,4,12,8.855697943,1.82E+08,9.88E+08,5.04E+08,8.59E-05,30060247709,0,4392,34284133468,-0.140514004,89618277440,2.72E+12,0.463176627,0
atris1240,ATRIS,1240,1600718,13299531,6072933.868,7530437996,TRUE,3.1178E+13,4,3.12E+13,4,12,8.820967742,2.05E+10,9.28E+10,5.03E+10,0.0016129,1855086690,0,256,1820256099,0.018775721,5710181897,1.49E+13,0.478950109,0
atris3934,ATRIS,3934,1368658,15071250,6090922.179,23961687853,TRUE,1.59008E+14,4,1.59E+14,4,12,8.827656329,1.81E+10,9.58E+10,5.05E+10,3.18E-04,8633379765,0,1290,9310340499,-0.078412019,14651347354,7.45E+13,0.468634461,0
atris49462,ATRIS,49462,1414062,15559017,6089977.524,3.01222E+11,TRUE,1.66237E+13,4,1.66E+13,4,12,8.86098419,1.81E+08,1.04E+09,5.04E+08,3.03E-05,84522107608,0,12307,94348250022,-0.116255293,2.06874E+11,7.48E+12,0.449837661,0
atris18921,ATRIS,18921,1365323,15233176,6079555.954,1.15031E+11,TRUE,5.4443E+12,4,5.44E+12,4,12,8.832936948,1.83E+08,9.89E+08,5.04E+08,9.25E-05,28520144902,0,4054,31403747381,-0.101107568,83627530828,2.49E+12,0.45806036,0
atris1266,ATRIS,1266,1481555,14933587,6024001.288,7626385630,TRUE,5.05495E+13,4,5.05E+13,4,12,8.793048973,1.98E+10,9.61E+10,4.99E+10,9.87E-04,2833280786,0,409,2932312022,-0.034952849,4694073608,2.34E+13,0.463607544,0
atris7260,ATRIS,7260,1406509,14545192,6132396.471,44521198380,TRUE,2.94343E+12,4,2.94E+12,4,12,8.881818182,1.90E+08,9.64E+08,5.07E+08,1.72E-04,15596029304,0,2251,16600048776,-0.064376608,27921149604,1.32E+12,0.448840033,0
atris1660,ATRIS,1660,1516150,14262710,6194020.723,10282074401,TRUE,4.24475E+13,4,4.24E+13,4,12,8.951807229,2.14E+10,9.16E+10,5.11E+10,0.001204819,2464739541,0,312,2477038826,-0.004990095,7805035575,1.97E+13,0.462956907,0
