instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
atris19260,ATRIS,19260,1423251,15169876,6079509.725,1.17E+11,TRUE,7.75E+12,4,7.75E+12,4,12,8.871858775,1.76E+08,9.83E+08,5.03E+08,6.49E-05,40762629543,0,8490,30793198463,0.244572816,86298158835,3.18E+12,0.410270629,0
atris3323,ATRIS,3323,1428143,14423410,6120624.122,20338833957,TRUE,6.73E+13,4,6.73E+13,4,12,8.888353897,1.74E+10,9.52E+10,5.07E+10,7.52E-04,3647512686,0,857,2588098019,0.290448522,17750735938,2.95E+13,0.437937581,0
atris20367,ATRIS,20367,1337855,14841043,6083488.531,1.24E+11,TRUE,5.86E+12,4,5.86E+12,4,12,8.855697943,1.82E+08,9.88E+08,5.04E+08,8.59E-05,30060247709,0,6946,22896074993,0.238327135,1.01E+11,2.50E+12,0.426226884,0
atris1240,ATRIS,1240,1600718,13299531,6072933.868,7530437996,TRUE,3.12E+13,4,3.12E+13,4,12,8.820967742,2.05E+10,9.28E+10,5.03E+10,0.0016129,1855086690,0,361,1139748785,0.385608882,6390689211,1.29E+13,0.412378316,0
atris3934,ATRIS,3934,1368658,15071250,6090922.179,23961687853,TRUE,1.59E+14,4,1.59E+14,4,12,8.827656329,1.81E+10,9.58E+10,5.05E+10,3.18E-04,8633379765,0,1736,6264799127,0.274351494,17696888726,6.53E+13,0.410375565,0
atris49462,ATRIS,49462,1414062,15559017,6089977.524,3.01E+11,TRUE,1.66E+13,4,1.66E+13,4,12,8.86098419,1.81E+08,1.04E+09,5.04E+08,3.03E-05,84522107608,0,19117,65674774904,0.222987018,2.36E+11,7.01E+12,0.42158158,0
atris18921,ATRIS,18921,1365323,15233176,6079555.954,1.15E+11,TRUE,5.44E+12,4,5.44E+12,4,12,8.832936948,1.83E+08,9.89E+08,5.04E+08,9.25E-05,28520144902,0,6410,20930129583,0.266128217,94101148626,2.30E+12,0.42173726,0
atris1266,ATRIS,1266,1481555,14933587,6024001.288,7626385630,TRUE,5.05E+13,4,5.05E+13,4,12,8.793048973,1.98E+10,9.61E+10,4.99E+10,9.87E-04,2833280786,0,612,2268090157,0.199482745,5358295473,2.31E+13,0.456710018,0
atris7260,ATRIS,7260,1406509,14545192,6132396.471,44521198380,TRUE,2.94E+12,4,2.94E+12,4,12,8.881818182,1.90E+08,9.64E+08,5.07E+08,1.72E-04,15596029304,0,3269,12135472293,0.221887055,32385726087,1.24E+12,0.421243611,0
atris1660,ATRIS,1660,1516150,14262710,6194020.723,10282074401,TRUE,4.24E+13,4,4.24E+13,4,12,8.951807229,2.14E+10,9.16E+10,5.11E+10,0.001204819,2464739541,0,521,1697682246,0.311212314,8584392155,1.87E+13,0.440952249,0
atris13846,ATRIS,13846,1407615,14946613,6083387.158,84230578583,TRUE,5.58E+12,4,5.58E+12,4,12,8.848909432,1.79E+08,9.77E+08,5.04E+08,9.03E-05,28737989418,0,6203,22567135702,0.214728095,61663442881,2.33E+12,0.417245926,0
atris2986,ATRIS,2986,1372104,14475894,6027384.845,17997771148,TRUE,1.36E+14,4,1.36E+14,4,12,8.823174816,1.89E+10,9.55E+10,5.03E+10,3.68E-04,7360069013,0,1605,6248579624,0.151016164,11749191524,6.22E+13,0.4558802,0
atris1797,ATRIS,1797,1558192,13854310,6154763.789,11060110529,TRUE,7.31E+13,4,7.31E+13,4,12,8.938230384,1.97E+10,9.75E+10,5.08E+10,6.96E-04,4155438643,0,832,3098208735,0.254420772,7961901794,3.14E+13,0.430138239,0
atris2090,ATRIS,2090,1409637,15010417,6173741.113,12903118927,TRUE,9.69E+13,4,9.69E+13,4,12,8.98277512,1.95E+10,9.49E+10,5.10E+10,5.26E-04,5062050579,0,1077,4259416127,0.158559153,8643702800,4.19E+13,0.43253903,0
atris49252,ATRIS,49252,1356193,15752462,6083004.206,3.00E+11,TRUE,1.99E+13,4,1.99E+13,4,12,8.846544303,1.82E+08,9.98E+08,5.05E+08,2.54E-05,1.02E+11,0,21258,76255903969,0.253009196,2.23E+11,7.95E+12,0.399856134,0
atris3249,ATRIS,3249,1455800,14017901,6125497.531,19901741479,TRUE,8.22E+13,4,8.22E+13,4,12,8.915974146,1.99E+10,9.48E+10,5.06E+10,6.16E-04,4322958555,0,1033,3297958816,0.237106076,16603782663,3.66E+13,0.444820922,0
atris10619,ATRIS,10619,1358290,14982828,6122851.621,65018561360,TRUE,2.69E+12,4,2.69E+12,4,12,8.925510877,1.89E+08,1.03E+09,5.06E+08,1.88E-04,14270109613,0,3263,10422377613,0.26963577,54596183747,1.15E+12,0.429631737,0
atris1672,ATRIS,1672,1550890,13571260,6063078.929,10137467969,TRUE,2.81E+13,4,2.81E+13,4,12,8.812200957,1.97E+10,9.27E+10,5.03E+10,0.001794266,1646965528,0,365,1045165956,0.365399009,9092302013,1.21E+13,0.431094114,0
atris4630,ATRIS,4630,1441448,14930390,6099571.711,28241017023,TRUE,1.34E+14,4,1.34E+14,4,12,8.863930886,1.96E+10,9.62E+10,5.05E+10,3.78E-04,7285078831,0,1580,5237115898,0.28111747,23003901125,5.73E+13,0.428290292,0
atris39445,ATRIS,39445,1379199,15944776,6083954.352,2.40E+11,TRUE,7.95E+12,4,7.95E+12,4,12,8.875801749,1.75E+08,1.00E+09,5.04E+08,6.34E-05,40886162863,0,9718,28944402100,0.292073404,2.11E+11,3.32E+12,0.417594113,0
atris5288,ATRIS,5288,1458810,14422019,6103521.362,32275420964,TRUE,1.53E+12,4,1.53E+12,4,12,8.857034796,1.82E+08,9.61E+08,5.05E+08,3.31E-04,8344101433,0,1769,5759828636,0.309712534,26515592328,6.35E+11,0.415901619,0
atris10681,ATRIS,10681,1372699,15437026,6123548.411,65405620574,TRUE,3.60E+12,4,3.60E+12,4,12,8.871266735,1.72E+08,9.65E+08,5.06E+08,1.40E-04,18754897470,0,3920,13255682750,0.293214864,52149937824,1.43E+12,0.396099406,0
