"instance","type","num items","min i. value","max i. value","avg i. value","sum i. value","c. is rect","num grid points","num sides c.","area c.","min i. sides","max i. sides","avg i. sides","min i. area","max i. area","avg i. area","avg i-c area ratio","lower bound","upper bound","num i. packed","total score","improvement","loss","coverage","utilization","ms"
"random_rcf2_x25afb10_2000","RANDOM","2000","1","1203","201.4495","402899","false","4216668230396","19","4.216668E12","3","20","6.3885","1500000.0","1.7604E10","3.31352425E9","7.858157791886864E-4","110568","319001","228","118555","0.038319268062159066","284344","1.546233E12","0.36669545717139695","0"
"random_cf1_720892de_5000","RANDOM","5000","1","1","1.0","5000","false","33577817958210","6","3.35778175E13","3","21","6.1112","2.15E7","5.60475E10","8.1144768E9","2.416618292716613E-4","1677","4765","1195","1195","-0.1560880829015544","3805","9.4153955E12","0.28040522586079336","0"
"jigsaw_cf2_x38b54e9_31","JIGSAW","31","6","433","100.45161290322581","3114","false","15746570865265774","15","1.5746570858056388E16","3","10","4.516129032258065","5.8849221617697E13","4.4808039216844445E15","1.0350168801388556E15","0.0657296683493036","166","1533","2","51","-0.08412582297000731","3063","5.157128827771255E14","0.032750805710392","0"
"jigsaw_cf4_x252babb_6578","JIGSAW","6578","1","3318","100.49984797810885","661088","false","23755684448028736","12","2.375568443666516E16","3","20","4.781848586196412","1.3072510291E10","2.116850660983395E14","1.110788003107867E13","4.6758829705341893E-4","24614","241642","26","39891","0.07039183884107121","621197","4.325577267656793E15","0.18208598784805297","0"
"satris1811","SATRIS","1811","1436047","17543314","6724767.189950304","12178553381","true","83256521651301","4","8.32565E13","4","12","8.869133075648813","1.978521E10","9.3857065E10","5.056984778299282E10","6.073981945312717E-4","1995613934","11495849328","182","2283498307","0.03030286735650963","9895055074","1.350414785E13","0.1621993219748608","0"
"random_cf1_6de164e1_200","RANDOM","200","1","1","1.0","200","false","5428000138440","11","5.428E12","3","19","4.445","4.5E8","1.685E11","4.22145E10","0.007777173913043478","40","172","33","33","-0.05303030303030303","167","1.295E12","0.23857774502579218","0"
"satris38870","SATRIS","38870","1434996","18907380","6704276.6127090305","260595231936","true","15674858769941","4","1.567485E13","4","12","8.84440442500643","1.83435E8","9.947579E8","5.040789899498328E8","3.215845701552696E-5","30315823337","224303808475","2243","30389510039","3.798518859174729E-4","230205721897","1.73873523085E12","0.1109251591466585","0"
"satris8180","SATRIS","8180","1491286","17748696","6716072.43997555","54937472559","true","1649962649961","4","1.64996E12","4","12","8.850122249388754","1.832196E8","9.8143735E8","5.042671974572127E8","3.0562389237145915E-4","3234842893","26561554134","266","3706839731","0.02023417845420055","51230632828","2.0816676285E11","0.12616473299352712","0"
"random_rcf1_78877e61_200","RANDOM","200","1","3","2.135","427","false","4438050210132","13","4.43805E12","3","17","5.2","3.0E8","1.504E11","4.59805E10","0.010360518696274263","93","328","24","72","-0.08936170212765958","355","8.0785E11","0.18202814299072792","0"
"random_cf4_x72dca06_50","RANDOM","50","3","314","100.54","5027","false","54235001636474","13","5.4235E13","3","14","4.86","5.0E10","5.925E12","2.0238E12","0.037315386742878216","111","2908","1","167","0.020021451555237754","4860","3.705E12","0.0683138194892597","0"
"random_rcf3_x3d52d59_2000","RANDOM","2000","2","1731","207.9935","415987","false","1481458593612","12","1.4814585E12","3","15","4.4625","4000000.0","2.2808E10","3.56502975E9","0.002406432411032776","27169","139681","38","37968","0.0959808731513083","378019","5.364E11","0.36207561669800403","0"
"jigsaw_cf3_x21b52c8_130","JIGSAW","130","6","552","100.48461538461538","13063","false","20090740511543204","17","2.0090740502143252E16","3","13","4.615384615384615","1.44819840633385E13","5.227902114512375E14","1.6294631440842503E14","0.008110518096186755","1902","12645","15","2249","0.03230010239225543","10814","3.6786130606161435E15","0.18309992407814507","0"
"jigsaw_rcf4_944ca2fb_34","JIGSAW","34","43","888","215.35294117647058","7322","false","15185884979863152","18","1.5185884973143304E16","3","10","4.794117647058823","2.381831722950055E14","2.091000423687478E15","6.943170735187475E14","0.045721212477683605","848","5777","2","113","-0.14911746804625686","7209","5.337756111892455E14","0.0351494570209931","0"
"random_rcf1_x6e7ed44_5000","RANDOM","5000","1","3","1.984","9920","false","34529083289968","10","3.4529083E13","3","19","5.4514","2000000.0","4.30125E10","8.5320232E9","2.4709672133488167E-4","3933","9540","1371","4008","0.013376136971642591","5912","1.0956046E13","0.3172990722053059","0"
"random_cf1_x6dad719_500","RANDOM","500","1","1","1.0","500","false","23001550415008","14","2.300155E13","3","20","6.136","1.0E8","6.8115E11","1.061152E11","0.004613393445224344","85","347","66","66","-0.07251908396946564","434","7.14655E12","0.31069862683167004","0"
"random_cf1_54081766_500","RANDOM","500","1","1","1.0","500","false","17770300495009","17","1.77703E13","3","20","6.14","5.0E8","4.1215E11","9.99494E10","0.005624519563541415","86","326","46","46","-0.16666666666666666","454","4.90175E12","0.27583946247390306","0"
"jigsaw_cf2_xf42cb20_670","JIGSAW","670","8","713","100.49402985074627","67331","false","17440088467976878","20","1.7440088459984682E16","3","20","4.713432835820895","5.93324091104E12","5.65335060538694E14","7.939938528094564E13","0.004552693953538318","3183","22234","7","3847","0.03485381344811296","63484","3.0521091018272865E15","0.17500536816829695","0"
"jigsaw_rcf3_x699083b_71","JIGSAW","71","5","2016","199.3943661971831","14157","false","17591940869627008","15","1.7591940861584554E16","3","17","4.577464788732394","2.1479145331012E13","4.265065673907278E15","6.313106443852248E14","0.03588635553930351","489","8231","0","0","-0.06316197365021958","14157","0.0","0.0","0"
"random_rcf1_477eb796_50","RANDOM","50","1","3","1.98","99","false","63905001200006","9","6.3905E13","3","17","6.62","1.85E11","5.755E12","1.6734E12","0.0261857444644394","27","93","6","18","-0.13636363636363635","81","6.87E12","0.10750332524841562","0"
"atris1797","ATRIS","1797","1558192","13854310","6154763.789092933","11060110529","true","73091519618301","4","7.30915E13","4","12","8.93823038397329","1.969597E10","9.750341E10","5.084272145520312E10","6.956037494811725E-4","4155438643","9473120947","395","3951302325","-0.038388212444817764","7108808204","2.835653902E13","0.38795946204415016","0"
"satris14660","SATRIS","14660","1410904","18884569","6729539.348635743","98655046851","true","2960628473751","4","2.960625E12","4","12","8.853615279672578","1.736468E8","1.009612E9","5.048813851364257E8","1.7053202791181784E-4","5512647128","47837727254","417","5975534284","0.010936474417106932","92679512567","3.260357485E11","0.11012395980578425","0"
"satris3794","SATRIS","3794","1431896","19079891","6703290.032683184","25432282384","true","109441522092201","4","1.094415E14","4","12","8.854507116499736","1.955092E10","9.7881355E10","5.048040379414866E10","4.6125467755968856E-4","2188388901","16738183689","150","2119800936","-0.004714015970628547","23312481448","1.1756377845E13","0.10742157083921547","0"
"jigsaw_cf1_x47a0fe7_1363","JIGSAW","1363","1","1","1.0","1363","false","17239184579071850","19","1.7239184570937196E16","3","20","4.776962582538518","2.849524202864E12","6.02234146605155E13","1.837606652323662E13","0.0010659475480189503","159","1183","142","142","-0.0166015625","1221","2.7308248128775775E15","0.15840800367561225","0"
"random_rcf4_6e323d40_100","RANDOM","100","6","744","196.78","19678","false","1524100197060","18","1.5241E12","3","19","5.78","6.5E8","8.38E10","2.82955E10","0.01856538284889443","3069","13247","7","2934","-0.013263902534879152","16744","3.419E11","0.22432911226297486","0"
